pulseheight,counts_ch_A,counts_ch_B
3.0742871435717865,11,27
3.2228614307153585,20,23
3.37143571785893,15,21
3.5200100050025016,29,24
3.6685842921460736,19,24
3.8171585792896456,19,23
3.965732866433217,20,21
4.114307153576789,19,31
4.262881440720362,25,32
4.411455727863933,17,27
4.560030015007504,19,19
4.708604302151077,27,29
4.857178589294648,26,18
5.005752876438221,18,21
5.154327163581792,22,18
5.302901450725363,18,19
5.451475737868936,20,25
5.600050025012507,22,15
5.748624312156079,18,23
5.897198599299651,19,20
6.045772886443222,21,24
6.194347173586795,17,38
6.342921460730366,25,21
6.491495747873938,20,19
6.64007003501751,25,26
6.7886443221610815,29,28
6.937218609304654,26,21
7.0857928964482255,19,28
7.2343671835917975,17,30
7.3829414707353695,21,34
7.531515757878941,24,24
7.680090045022513,24,28
7.828664332166085,22,36
7.977238619309657,25,29
8.125812906453229,26,39
8.2743871935968,16,29
8.422961480740373,22,32
8.571535767883944,22,29
8.720110055027515,27,32
8.868684342171086,30,36
9.017258629314659,20,29
9.165832916458232,24,21
9.314407203601803,14,34
9.462981490745374,20,14
9.611555777888945,199,22
9.760130065032518,659,21
9.908704352176091,687,27
10.057278639319662,661,25
10.205852926463233,666,28
10.354427213606805,674,225
10.503001500750377,664,548
10.65157578789395,615,527
10.800150075037521,672,548
10.948724362181093,531,469
11.097298649324664,667,529
11.245872936468235,622,495
11.394447223611808,651,530
11.54302151075538,584,490
11.691595797898952,590,537
11.840170085042523,580,430
11.988744372186094,629,489
12.137318659329667,569,430
12.28589294647324,600,471
12.434467233616811,542,421
12.583041520760382,625,462
12.731615807903953,596,452
12.880190095047526,606,469
13.028764382191099,557,431
13.17733866933467,614,469
13.325912956478241,573,439
13.474487243621812,600,477
13.623061530765385,559,476
13.771635817908958,626,469
13.92021010505253,607,406
14.0687843921961,666,417
14.217358679339672,657,429
14.365932966483244,570,468
14.514507253626816,642,401
14.663081540770389,584,400
14.81165582791396,602,406
14.96023011505753,641,427
15.108804402201104,618,404
15.257378689344675,589,370
15.405952976488248,613,385
15.554527263631819,549,390
15.70310155077539,595,396
15.851675837918963,536,403
16.000250125062536,572,408
16.148824412206107,540,356
16.297398699349678,538,334
16.445972986493253,485,334
16.59454727363682,517,372
16.743121560780395,462,341
16.891695847923966,531,297
17.040270135067537,473,335
17.188844422211112,502,297
17.33741870935468,442,339
17.485992996498254,452,318
17.634567283641825,449,303
17.783141570785396,428,300
17.93171585792897,467,315
18.08029014507254,484,315
18.228864432216113,442,285
18.377438719359684,456,285
18.526013006503256,438,299
18.67458729364683,407,342
18.823161580790398,421,272
18.971735867933972,361,272
19.12031015507754,366,244
19.268884442221115,370,234
19.417458729364686,380,221
19.566033016508257,362,266
19.71460730365183,494,171
19.8631815907954,356,205
20.011755877938974,362,219
20.160330165082545,303,249
20.308904452226116,348,193
20.45747873936969,339,224
20.60605302651326,337,201
20.754627313656833,305,214
20.903201600800404,304,196
21.051775887943975,365,217
21.20035017508755,339,192
21.348924462231118,276,189
21.497498749374692,323,175
21.646073036518263,326,191
21.794647323661835,325,203
21.94322161080541,299,176
22.091795897948977,300,173
22.24037018509255,295,167
22.388944472236123,302,172
22.537518759379694,275,173
22.68609304652327,276,137
22.834667333666836,288,196
22.98324162081041,267,163
23.131815907953982,278,196
23.280390195097553,274,143
23.428964482241128,293,144
23.577538769384695,237,131
23.72611305652827,319,145
23.87468734367184,222,140
24.023261630815412,263,157
24.171835917958987,254,149
24.320410205102554,216,150
24.46898449224613,210,142
24.6175587793897,242,145
24.76613306653327,189,120
24.914707353676846,263,140
25.063281640820414,205,136
25.211855927963988,212,144
25.360430215107556,208,110
25.50900450225113,214,117
25.657578789394705,198,107
25.806153076538273,181,130
25.954727363681847,159,98
26.103301650825415,197,108
26.25187593796899,191,128
26.400450225112564,172,112
26.549024512256132,169,92
26.697598799399707,141,101
26.846173086543274,165,96
26.99474737368685,121,94
27.143321660830424,150,89
27.29189594797399,145,89
27.440470235117566,131,101
27.589044522261133,136,103
27.737618809404708,155,93
27.886193096548283,138,97
28.03476738369185,135,88
28.183341670835425,124,90
28.331915957978993,131,71
28.480490245122567,109,71
28.629064532266142,153,78
28.77763881940971,124,54
28.926213106553284,129,66
29.07478739369685,116,66
29.223361680840426,109,74
29.371935967984,114,57
29.52051025512757,113,66
29.669084542271143,101,77
29.81765882941471,94,76
29.966233116558286,104,60
30.11480740370186,97,69
30.263381690845428,84,76
30.411955977989003,84,51
30.56053026513257,97,42
30.709104552276145,100,57
30.85767883941972,82,50
31.006253126563287,91,71
31.15482741370686,93,67
31.30340170085043,85,68
31.451975987994004,80,47
31.60055027513758,98,69
31.749124562281146,88,61
31.89769884942472,81,61
32.04627313656829,104,48
32.19484742371186,66,67
32.34342171085544,91,54
32.49199599799901,87,58
32.64057028514258,93,42
32.78914457228615,87,51
